X,Y,OBJECTID,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_ADDRESS1,HQ_CITY,HQ_STATE,HQ_ZIP_CODE,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
-74.86113,40.5314853,2498,Hunterdon Medical Center (AKA Hunterdon Healthcare),Short Term Acute Care Hospital,2100 Wescott Dr,,Flemington,NJ,8822,Hunterdon,New Jersey,34,19,34019,184,170,12,12,0,0.5685115,14,9
-74.6240079,40.3398191,2499,Princeton Medical Center (FKA University Medical Center of Princeton at Plainsboro),Short Term Acute Care Hospital,1 Plainsboro Rd,,Plainsboro,NJ,8536,Middlesex,New Jersey,34,23,34023,429,206,24,24,0,0.7410427,223,13
-74.741205,40.2166342,2500,St Francis Medical Center,Short Term Acute Care Hospital,601 Hamilton Ave,,Trenton,NJ,8629,Mercer,New Jersey,34,21,34021,231,134,12,12,0,0.4591495,97,4
-74.8076198,40.2945988,2501,Capital Health Medical Center - Hopewell,Short Term Acute Care Hospital,1 Capital Way,,Pennington,NJ,8534,Mercer,New Jersey,34,21,34021,221,145,16,16,0,0.8841568,76,4
-74.6720664,40.2161213,2502,RWJ University Hospital Hamilton,Short Term Acute Care Hospital,1 Hamilton Health Pl,,Hamilton,NJ,8690,Mercer,New Jersey,34,21,34021,248,152,20,20,0,0.6322639,96,8
-74.7518116,40.2359137,2503,Capital Health Regional Medical Center,Short Term Acute Care Hospital,750 Brunswick Ave,,Trenton,NJ,8638,Mercer,New Jersey,34,21,34021,237,134,32,32,0,0.8402371,103,7
-74.3508341,40.5567643,2504,JFK Medical Center,Short Term Acute Care Hospital,65 James St,,Edison,NJ,8820,Middlesex,New Jersey,34,23,34023,498,357,63,63,0,0.6831434,141,17
-74.4594521,40.5015232,2505,Saint Peters University Hospital,Short Term Acute Care Hospital,254 Easton Ave,,New Brunswick,NJ,8901,Middlesex,New Jersey,34,23,34023,478,353,28,28,62,0.6079087,125,9
-74.4498466,40.4953282,2506,Robert Wood Johnson University Hospital New Brunswick,Short Term Acute Care Hospital,1 Robert Wood Johnson Pl,,New Brunswick,NJ,8901,Middlesex,New Jersey,34,23,34023,600,600,44,44,42,0.7499034,0,29
-74.2818674,40.5188431,2507,Raritan Bay Medical Center - Perth Amboy,Short Term Acute Care Hospital,530 New Brunswick Ave,,Perth Amboy,NJ,8861,Middlesex,New Jersey,34,23,34023,365,388,29,29,0,0.520294,-23,7
-74.0407767,40.2075024,2508,Jersey Shore University Medical Center,Short Term Acute Care Hospital,1945 Route 33,,Neptune,NJ,7753,Monmouth,New Jersey,34,25,34025,618,597,37,37,44,0.6656387,21,21
-73.9856012,40.2950943,2509,Monmouth Medical Center,Short Term Acute Care Hospital,300 2nd Ave,,Long Branch,NJ,7740,Monmouth,New Jersey,34,25,34025,514,279,23,23,31,0.5416703,235,8
-74.3131045,40.2368406,2510,CentraState Medical Center,Short Term Acute Care Hospital,901 W Main St,,Freehold,NJ,7728,Monmouth,New Jersey,34,25,34025,284,264,25,25,0,0.5822541,20,13
-74.1917012,40.4054853,2511,Bayshore Medical Center (FKA Bayshore Community Hospital),Short Term Acute Care Hospital,727 N Beers St,,Holmdel,NJ,7733,Monmouth,New Jersey,34,25,34025,211,169,16,16,0,0.6068574,42,10
-74.0639766,40.3536779,2512,Riverview Medical Center,Short Term Acute Care Hospital,1 Riverview Plz,,Red Bank,NJ,7701,Monmouth,New Jersey,34,25,34025,468,274,27,27,0,0.5583042,194,7
-74.3080801,40.9592284,2513,Chilton Medical Center,Short Term Acute Care Hospital,97 W Parkway,,Pompton Plains,NJ,7444,Morris,New Jersey,34,27,34027,260,175,12,12,4,0.6023953,85,8
-74.4655683,40.7896261,2514,Morristown Medical Center,Short Term Acute Care Hospital,100 Madison Ave,,Morristown,NJ,7960,Morris,New Jersey,34,27,34027,657,614,44,44,34,0.7968676,43,23
-74.4656599,40.8953079,2515,Saint Clares Denville Hospital,Short Term Acute Care Hospital,25 Pocono Rd,,Denville,NJ,7834,Morris,New Jersey,34,27,34027,314,264,41,41,0,0.4397977,50,14
-74.1312932,40.0771073,2516,Ocean Medical Center,Short Term Acute Care Hospital,425 Jack Martin Blvd,,Brick,NJ,8724,Ocean,New Jersey,34,29,34029,317,318,24,24,0,0.6331869,-1,15
-74.2156583,39.9642549,2517,Community Medical Center,Short Term Acute Care Hospital,99 Highway 37 W,,Toms River,NJ,8755,Ocean,New Jersey,34,29,34029,592,424,50,50,0,0.6616439,168,16
-74.285275,39.7210809,2518,Southern Ocean Medical Center,Short Term Acute Care Hospital,1140 Route 72 W,,Manahawkin,NJ,8050,Ocean,New Jersey,34,29,34029,156,154,12,12,0,0.4652197,2,6
-74.2186842,40.0730373,2519,Monmouth Medical Center Southern Campus,Short Term Acute Care Hospital,600 River Ave,,Lakewood,NJ,8701,Ocean,New Jersey,34,29,34029,241,201,20,20,0,0.4900157,40,6
-74.1661378,40.9022582,2520,St Josephs University Medical Center (FKA St Josephs Regional Medical Center),Short Term Acute Care Hospital,703 Main St,,Paterson,NJ,7503,Passaic,New Jersey,34,31,34031,651,678,28,28,56,0.7317654,-27,25
-74.1372832,40.8590505,2521,St Marys General Hospital,Short Term Acute Care Hospital,350 Boulevard,,Passaic,NJ,7055,Passaic,New Jersey,34,31,34031,269,145,25,25,0,0.5709589,124,6
-75.4445128,39.5940226,2522,Salem Medical Center (FKA the Memorial Hospital of Salem County),Short Term Acute Care Hospital,310 Woodstown Rd,,Salem,NJ,8079,Salem,New Jersey,34,33,34033,126,126,12,12,0,0.1969897,0,5
-75.180292,39.587857,2523,Inspira Medical Center Elmer (FKA South Jersey Healthcare - Elmer Hospital),Short Term Acute Care Hospital,501 Front St,,Elmer,NJ,8318,Salem,New Jersey,34,33,34033,96,83,7,7,0,0.3682456,13,2
-74.5950225,40.5681075,2524,RWJ University Hospital Somerset (FKA Somerset Medical Center),Short Term Acute Care Hospital,110 Rehill Ave,,Somerville,NJ,8876,Somerset,New Jersey,34,35,34035,311,281,28,28,0,0.5713937,30,10
-74.7682688,41.0578686,2525,Newton Medical Center,Short Term Acute Care Hospital,175 High St,,Newton,NJ,7860,Sussex,New Jersey,34,37,34037,148,130,10,10,0,0.7139304,18,6
-74.2141265,40.6597934,2526,Trinitas Regional Medical Center,Short Term Acute Care Hospital,225 Williamson St,,Elizabeth,NJ,7202,Union,New Jersey,34,39,34039,407,220,25,25,0,0.5963014,187,10
-74.2911039,40.6129663,2527,RWJ University Hospital Rahway,Short Term Acute Care Hospital,865 Stone St,,Rahway,NJ,7065,Union,New Jersey,34,39,34039,251,122,21,21,0,0.5659331,129,9
-74.3536189,40.7121248,2528,Overlook Medical Center,Short Term Acute Care Hospital,99 Beauvoir Ave,,Summit,NJ,7901,Union,New Jersey,34,39,34039,504,443,30,30,15,0.5656328,61,10
-75.178597,40.702113,2529,St Lukes Warren Campus (FKA Warren Hospital),Short Term Acute Care Hospital,185 Roseberry St,,Phillipsburg,NJ,8865,Warren,New Jersey,34,41,34041,198,92,12,12,0,0.5018463,106,3
-74.8158027,40.8619382,2530,Hackettstown Medical Center,Short Term Acute Care Hospital,651 Willow Grove St,,Hackettstown,NJ,7840,Warren,New Jersey,34,41,34041,111,64,8,8,0,0.5796561,47,4
-74.7336705,40.2927431,6007,Al Rashid Health and Wellness Center,Short Term Acute Care Hospital,2500 Main St,,Lawrenceville,NJ,8648,Mercer,New Jersey,34,21,34021,18,18,3,3,,,0,0
,,,,,,,,,,,,,,,21707,16913,1536,1536,619,37.0533642,4794,673
